,State,Year,Population,GDP,Incidents,Temperature,Marriage_Rate,Education_Rate,Is_Covid
255,Indiana,2011,6517250,299064.5,100,53.1,6.8,31.0,0
256,Iowa,2011,3066772,152435.2,15,48.4,6.7,23.0,0
257,Kansas,2011,2869677,139579.4,67,55.2,6.3,30.1,0
258,Kentucky,2011,4370817,175745.3,154,56.9,7.5,21.1,0
259,Louisiana,2011,4576244,234975.7,5,67.7,6.4,21.1,0
260,Maine,2011,1328473,53789.0,55,42.8,7.2,39.1,0
261,Maryland,2011,5840241,332437.2,49,56.5,5.8,36.9,0
262,Massachusetts,2011,6614218,434494.5,367,49.7,5.5,28.4,0
263,Michigan,2011,9883053,414834.4,346,45.6,5.7,25.6,0
264,Minnesota,2011,5346620,293783.2,148,42.0,5.6,32.4,0
265,Mississippi,2011,2979147,98515.8,1,64.4,4.9,26.1,0
266,Missouri,2011,6011182,268533.8,117,55.6,6.6,19.8,0
267,Montana,2011,997518,41875.7,23,41.6,7.8,28.2,0
268,Nebraska,2011,1840914,102587.4,36,48.8,6.6,26.9,0
269,Nevada,2011,2713114,130697.9,59,49.6,36.9,26.3,0
270,New Hampshire,2011,1320444,67559.1,22,44.9,7.1,27.9,0
271,New Jersey,2011,8828552,507604.0,508,54.9,4.8,33.4,0
272,New Mexico,2011,2080707,87592.9,28,54.6,8.0,35.3,0
273,New York,2011,19499921,1279527.1,544,47.1,6.9,25.6,0
274,North Carolina,2011,9658913,443288.7,112,60.4,6.7,22.5,0
275,North Dakota,2011,685526,42340.8,27,40.7,6.7,32.9,0
276,Ohio,2011,11545735,541180.2,228,52.3,5.9,24.7,0
277,Oklahoma,2011,3788824,166327.2,29,61.6,6.9,23.8,0
278,Oregon,2011,3872672,173831.7,128,46.3,6.6,29.3,0
279,Pennsylvania,2011,12747052,637114.0,53,50.4,5.3,27.0,0
280,Rhode Island,2011,1053829,51279.6,20,51.6,6.0,31.1,0
281,South Carolina,2011,4672655,176083.2,135,64.1,7.2,24.1,0
282,South Dakota,2011,823740,43049.5,21,44.8,7.5,26.3,0
283,Tennessee,2011,6400298,276898.3,144,58.9,9.0,23.6,0
284,Texas,2011,25645504,1353600.4,152,67.3,7.1,26.4,0
285,Utah,2011,2814797,127992.5,68,47.6,8.6,29.7,0
286,Vermont,2011,627197,29013.5,7,44.3,8.3,35.1,0
287,Virginia,2011,8102437,444288.0,144,57.0,6.8,35.4,0
288,Washington,2011,6827479,387745.2,213,45.5,6.1,31.9,0
