,State,Year,GDP
355,Wisconsin,2004,256167.4
356,Wyoming,2004,31695.7
357,Alabama,2005,184369.5
358,Alaska,2005,45657.1
359,Arizona,2005,262326.0
360,Arkansas,2005,105980.0
361,California,2005,1926842.1
362,Colorado,2005,251558.4
363,Connecticut,2005,238549.5
364,Delaware,2005,59335.1
365,District of Columbia,2005,99480.7
366,Florida,2005,815755.8
367,Georgia,2005,447152.9
368,Hawaii,2005,67123.9
369,Idaho,2005,56043.0
370,Illinois,2005,687706.6
371,Indiana,2005,290328.2
372,Iowa,2005,144577.3
373,Kansas,2005,123949.8
374,Kentucky,2005,171180.3
375,Louisiana,2005,247773.2
376,Maine,2005,54926.9
377,Maryland,2005,301660.6
378,Massachusetts,2005,386803.5
379,Michigan,2005,457137.7
380,Minnesota,2005,284636.9
381,Mississippi,2005,96820.7
382,Missouri,2005,265735.1
383,Montana,2005,37373.9
384,Nebraska,2005,89309.1
385,Nevada,2005,137508.8
386,New Hampshire,2005,65034.4
387,New Jersey,2005,507894.7
388,New Mexico,2005,84034.4
389,New York,2005,1168891.1
390,North Carolina,2005,409003.9
391,North Dakota,2005,29345.2
392,Ohio,2005,545968.7
393,Oklahoma,2005,143471.1
394,Oregon,2005,158163.4
395,Pennsylvania,2005,594855.1
396,Rhode Island,2005,51369.7
397,South Carolina,2005,169488.5
398,South Dakota,2005,35842.2
399,Tennessee,2005,268391.7
400,Texas,2005,1141373.7
401,Utah,2005,110046.4
402,Vermont,2005,26995.6
403,Virginia,2005,412084.6
404,Washington,2005,340428.0
405,West Virginia,2005,65678.4
406,Wisconsin,2005,263698.6
407,Wyoming,2005,33484.0
408,Alabama,2006,187270.8
409,Alaska,2006,49190.2
410,Arizona,2006,274179.4
411,Arkansas,2006,108460.6
412,California,2006,2002437.4
413,Colorado,2006,257430.2
414,Connecticut,2006,248233.8
415,Delaware,2006,60624.3
416,District of Columbia,2006,99805.5
417,Florida,2006,839963.8
418,Georgia,2006,453032.1
419,Hawaii,2006,68759.3
420,Idaho,2006,57613.7
421,Illinois,2006,704827.6
422,Indiana,2006,296112.7
423,Iowa,2006,146555.3
424,Kansas,2006,130364.5
425,Kentucky,2006,175657.7
426,Louisiana,2006,245500.2
427,Maine,2006,55448.4
428,Maryland,2006,305794.1
429,Massachusetts,2006,395535.8
430,Michigan,2006,449853.5
431,Minnesota,2006,284382.0
432,Mississippi,2006,99005.8
433,Missouri,2006,267221.1
434,Montana,2006,38577.6
435,Nebraska,2006,91832.7
436,Nevada,2006,142967.1
437,New Hampshire,2006,66628.2
438,New Jersey,2006,516681.4
439,New Mexico,2006,86058.4
440,New York,2006,1199276.9
441,North Carolina,2006,434209.2
442,North Dakota,2006,30590.1
443,Ohio,2006,545504.1
444,Oklahoma,2006,152857.7
445,Oregon,2006,166107.2
446,Pennsylvania,2006,597219.2
447,Rhode Island,2006,52899.6
448,South Carolina,2006,173370.9
449,South Dakota,2006,36350.8
450,Tennessee,2006,274879.2
451,Texas,2006,1228547.3
452,Utah,2006,118482.3
453,Vermont,2006,27128.8
454,Virginia,2006,419870.6
455,Washington,2006,353263.5
456,West Virginia,2006,66861.4
457,Wisconsin,2006,268246.4
458,Wyoming,2006,37813.4
459,Alabama,2007,189002.5
460,Alaska,2007,51721.0
461,Arizona,2007,283250.7
462,Arkansas,2007,107606.1
463,California,2007,2041192.2
464,Colorado,2007,266887.5
465,Connecticut,2007,257953.0
466,Delaware,2007,60477.9
467,District of Columbia,2007,102738.7
468,Florida,2007,850048.6
469,Georgia,2007,455904.0
470,Hawaii,2007,70080.4
471,Idaho,2007,58670.9
472,Illinois,2007,712619.8
473,Indiana,2007,304085.7
474,Iowa,2007,152861.8
475,Kansas,2007,137093.6
476,Kentucky,2007,174407.3
477,Louisiana,2007,230367.7
478,Maine,2007,55359.9
479,Maryland,2007,306755.8
480,Massachusetts,2007,406421.2
481,Michigan,2007,446943.2
482,Minnesota,2007,286299.2
483,Mississippi,2007,100211.8
484,Missouri,2007,267691.2
485,Montana,2007,40438.3
486,Nebraska,2007,93910.8
487,Nevada,2007,144107.1
488,New Hampshire,2007,66853.6
489,New Jersey,2007,520898.3
490,New Mexico,2007,86738.8
491,New York,2007,1208564.6
492,North Carolina,2007,438960.1
493,North Dakota,2007,32022.2
494,Ohio,2007,546729.3
495,Oklahoma,2007,156219.5
496,Oregon,2007,168975.1
497,Pennsylvania,2007,617309.9
498,Rhode Island,2007,51469.1
499,South Carolina,2007,178474.6
500,South Dakota,2007,37755.9
501,Tennessee,2007,273224.0
502,Texas,2007,1286192.7
503,Utah,2007,123835.3
504,Vermont,2007,26886.7
505,Virginia,2007,424939.5
506,Washington,2007,373180.6
507,West Virginia,2007,67119.1
508,Wisconsin,2007,269933.6
509,Wyoming,2007,40632.2
510,Alabama,2008,186946.7
511,Alaska,2008,51252.1
512,Arizona,2008,280810.1
513,Arkansas,2008,106536.5
514,California,2008,2061638.8
515,Colorado,2008,270981.4
516,Connecticut,2008,257756.0
517,Delaware,2008,58655.7
518,District of Columbia,2008,106768.9
519,Florida,2008,816070.2
520,Georgia,2008,445764.6
521,Hawaii,2008,70460.8
522,Idaho,2008,60309.5
523,Illinois,2008,706616.5
524,Indiana,2008,300962.6
525,Iowa,2008,149881.4
526,Kansas,2008,139536.8
527,Kentucky,2008,173810.1
528,Louisiana,2008,232150.7
529,Maine,2008,54653.9
530,Maryland,2008,314757.6
531,Massachusetts,2008,414919.9
532,Michigan,2008,420974.0
533,Minnesota,2008,288420.6
534,Mississippi,2008,101777.6
535,Missouri,2008,273436.2
536,Montana,2008,40471.1
537,Nebraska,2008,93840.5
538,Nevada,2008,139954.2
539,New Hampshire,2008,65854.1
540,New Jersey,2008,534501.4
541,New Mexico,2008,86965.2
542,New York,2008,1190080.9
543,North Carolina,2008,450538.0
544,North Dakota,2008,34256.4
545,Ohio,2008,537124.1
546,Oklahoma,2008,162387.0
547,Oregon,2008,173598.5
548,Pennsylvania,2008,629807.9
549,Rhode Island,2008,50575.2
550,South Carolina,2008,176567.6
551,South Dakota,2008,39080.8
552,Tennessee,2008,274571.1
553,Texas,2008,1282088.7
554,Utah,2008,124225.5
555,Vermont,2008,27758.4
556,Virginia,2008,431216.7
557,Washington,2008,381289.9
558,West Virginia,2008,68483.9
559,Wisconsin,2008,266626.9
560,Wyoming,2008,42868.2
561,Alabama,2009,180707.2
562,Alaska,2009,56215.1
563,Arizona,2009,257498.5
564,Arkansas,2009,102996.6
565,California,2009,1995439.7
566,Colorado,2009,264966.3
567,Connecticut,2009,244894.7
568,Delaware,2009,61517.7
569,District of Columbia,2009,105893.9
570,Florida,2009,769061.1
571,Georgia,2009,428740.7
572,Hawaii,2009,67927.5
573,Idaho,2009,57327.9
574,Illinois,2009,688161.0
575,Indiana,2009,279520.7
576,Iowa,2009,146182.8
577,Kansas,2009,134227.0
578,Kentucky,2009,166704.2
579,Louisiana,2009,236411.0
580,Maine,2009,53630.1
581,Maryland,2009,311342.2
582,Massachusetts,2009,407219.6
583,Michigan,2009,383140.1
584,Minnesota,2009,277494.1
585,Mississippi,2009,98000.6
586,Missouri,2009,266834.9
587,Montana,2009,39513.4
588,Nebraska,2009,93977.6
589,Nevada,2009,128241.3
590,New Hampshire,2009,65023.4
591,New Jersey,2009,506850.7
592,New Mexico,2009,88069.9
593,New York,2009,1230672.3
594,North Carolina,2009,431955.3
595,North Dakota,2009,35244.4
596,Ohio,2009,511076.5
597,Oklahoma,2009,160091.6
598,Oregon,2009,165527.2
599,Pennsylvania,2009,610147.9
600,Rhode Island,2009,50004.3
601,South Carolina,2009,168851.8
602,South Dakota,2009,39987.3
603,Tennessee,2009,264737.1
604,Texas,2009,1277295.4
605,Utah,2009,121431.4
606,Vermont,2009,27222.0
607,Virginia,2009,427648.9
608,Washington,2009,370136.6
609,West Virginia,2009,68191.8
610,Wisconsin,2009,258761.2
611,Wyoming,2009,41546.4
612,Alabama,2010,184702.4
613,Alaska,2010,54601.5
614,Arizona,2010,260307.1
615,Arkansas,2010,105662.0
616,California,2010,2036015.0
617,Colorado,2010,267858.9
618,Connecticut,2010,244354.7
619,Delaware,2010,60577.2
620,District of Columbia,2010,109986.5
621,Florida,2010,775039.5
622,Georgia,2010,433727.2
623,Hawaii,2010,69628.1
624,Idaho,2010,58281.8
625,Illinois,2010,698179.6
626,Indiana,2010,297517.3
627,Iowa,2010,150148.4
628,Kansas,2010,135723.2
629,Kentucky,2010,173780.1
630,Louisiana,2010,246836.2
631,Maine,2010,54305.0
