,State,Year,Incidents
436,Rhode Island,2014,4
437,South Carolina,2014,49
438,South Dakota,2014,18
439,Tennessee,2014,194
440,Texas,2014,145
441,Utah,2014,50
442,Vermont,2014,15
443,Virginia,2014,118
444,Washington,2014,308
445,West Virginia,2014,26
446,Wisconsin,2014,51
447,Alabama,2015,10
448,Alaska,2015,8
449,Arizona,2015,276
450,Arkansas,2015,5
451,California,2015,837
452,Colorado,2015,107
453,Connecticut,2015,94
454,Delaware,2015,11
455,District Of Columbia,2015,65
456,Florida,2015,72
457,Georgia,2015,44
458,Idaho,2015,34
459,Illinois,2015,90
460,Indiana,2015,67
461,Iowa,2015,6
462,Kansas,2015,63
463,Kentucky,2015,188
464,Louisiana,2015,38
465,Maine,2015,38
466,Maryland,2015,43
467,Massachusetts,2015,424
468,Michigan,2015,309
469,Minnesota,2015,109
470,Missouri,2015,100
471,Montana,2015,45
472,Nebraska,2015,19
473,Nevada,2015,58
474,New Hampshire,2015,13
475,New Jersey,2015,330
476,New Mexico,2015,13
477,New York,2015,500
478,North Carolina,2015,162
479,North Dakota,2015,36
480,Ohio,2015,416
481,Oklahoma,2015,37
482,Oregon,2015,66
483,Pennsylvania,2015,64
484,Rhode Island,2015,18
485,South Carolina,2015,55
486,South Dakota,2015,16
487,Tennessee,2015,221
488,Texas,2015,191
489,Utah,2015,47
490,Vermont,2015,8
491,Virginia,2015,158
492,Washington,2015,275
493,West Virginia,2015,41
494,Wisconsin,2015,43
495,Wyoming,2015,2
496,Other Outlying Areas,2015,1
497,Alabama,2016,14
498,Alaska,2016,11
499,Arizona,2016,214
500,Arkansas,2016,12
501,California,2016,933
502,Colorado,2016,109
503,Connecticut,2016,106
504,Delaware,2016,15
505,District Of Columbia,2016,115
506,Florida,2016,96
507,Georgia,2016,39
508,Idaho,2016,27
509,Illinois,2016,111
510,Indiana,2016,78
511,Iowa,2016,17
512,Kansas,2016,49
513,Kentucky,2016,206
514,Louisiana,2016,27
515,Maine,2016,40
516,Maryland,2016,37
517,Massachusetts,2016,414
518,Michigan,2016,399
519,Minnesota,2016,122
520,Mississippi,2016,7
521,Missouri,2016,89
522,Montana,2016,20
523,Nebraska,2016,31
524,Nevada,2016,42
525,New Hampshire,2016,28
526,New Jersey,2016,282
527,New Mexico,2016,26
528,New York,2016,595
529,North Carolina,2016,149
530,North Dakota,2016,8
531,Ohio,2016,442
532,Oklahoma,2016,33
533,Oregon,2016,104
534,Pennsylvania,2016,61
535,Rhode Island,2016,12
536,South Carolina,2016,23
537,South Dakota,2016,18
538,Tennessee,2016,142
539,Texas,2016,178
540,Utah,2016,66
541,Vermont,2016,25
542,Virginia,2016,122
543,Washington,2016,389
544,West Virginia,2016,41
545,Wisconsin,2016,34
546,Wyoming,2016,3
547,Alabama,2017,9
548,Alaska,2017,4
549,Arizona,2017,288
550,Arkansas,2017,7
551,California,2017,1095
552,Colorado,2017,108
553,Connecticut,2017,112
